Date,Title,Full Text,Sentiment,Account Type,Author,Full Name,Gender,Hashtags,Impact,Impressions,Mentioned Authors,Tags,Total Monthly Visitors,Twitter Author ID,Twitter Followers,Twitter Following,Twitter Tweets,Reach (new)
2022-07-19 16:47:28.000,RT @HMureithi @Kenyans This is too low for a man who wants to be president of a country #MamaMbogaMoment,RT @HMureithi @Kenyans This is too low for a man who wants to be president of a country #MamaMbogaMoment,negative,individual,mngesa,mngesa (sir ali),male,#mamambogamoment,0.0,32,"['@hmureithi', '@kenyans']",#MamaMbogaMoment,1414667000,134239948,32,159,462,0
2022-07-10 16:21:50.000,RT @kilundeezy A good reminder  @OleItumbi  pay Influencers.@WilliamsRuto\n\n20/05/2022 #MamaMbogamoment \n21/05/2022  #BottomUpMuranga\n21/05/2022 #NyeriNiHustlerNation \n 23/05/2023 #BottomUpKiambu\n24/05/2022 #BottomUpTaitaTaveta\n25/05/2022 #TheEconomyFirst \n26/05/2022 #PlanNiBottomUp,RT @kilundeezy A good reminder @OleItumbi pay Influencers.@WilliamsRuto 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #PlanNiBottomUp,neutral,individual,Olang_Moses,Olang_Moses (MACHIAVELLIAN),unknown,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",38.9,21114,"['@oleitumbi', '@williamsruto']",#MamaMbogaMoment,1414667000,4083458907,21114,15120,157903,7602
2022-07-10 14:36:50.000,RT @kilundeezy A good reminder  @OleItumbi  pay Influencers.@WilliamsRuto\n\n20/05/2022 #MamaMbogamoment \n21/05/2022  #BottomUpMuranga\n21/05/2022 #NyeriNiHustlerNation \n 23/05/2023 #BottomUpKiambu\n24/05/2022 #BottomUpTaitaTaveta\n25/05/2022 #TheEconomyFirst \n26/05/2022 #PlanNiBottomUp,RT @kilundeezy A good reminder @OleItumbi pay Influencers.@WilliamsRuto 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #PlanNiBottomUp,neutral,individual,CaesarToreto,CaesarToreto (Czar),unknown,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",31.8,10073,"['@oleitumbi', '@williamsruto']",#MamaMbogaMoment,1414667000,1357591577925935104,10073,1209,32910,4958
2022-07-09 12:34:16.000,RT @kilundeezy A good reminder  @OleItumbi  pay Influencers.@WilliamsRuto\n\n20/05/2022 #MamaMbogamoment \n21/05/2022  #BottomUpMuranga\n21/05/2022 #NyeriNiHustlerNation \n 23/05/2023 #BottomUpKiambu\n24/05/2022 #BottomUpTaitaTaveta\n25/05/2022 #TheEconomyFirst \n26/05/2022 #PlanNiBottomUp,RT @kilundeezy A good reminder @OleItumbi pay Influencers.@WilliamsRuto 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #PlanNiBottomUp,neutral,individual,125__iconic,125__iconic (yusufu),unknown,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",0.0,342,"['@oleitumbi', '@williamsruto']",#MamaMbogaMoment,1414667000,1533716420772646912,342,183,1705,0
2022-07-09 12:13:24.000,RT @kilundeezy A good reminder  @OleItumbi  pay Influencers.@WilliamsRuto\n\n20/05/2022 #MamaMbogamoment \n21/05/2022  #BottomUpMuranga\n21/05/2022 #NyeriNiHustlerNation \n 23/05/2023 #BottomUpKiambu\n24/05/2022 #BottomUpTaitaTaveta\n25/05/2022 #TheEconomyFirst \n26/05/2022 #PlanNiBottomUp,RT @kilundeezy A good reminder @OleItumbi pay Influencers.@WilliamsRuto 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #PlanNiBottomUp,neutral,individual,OCHI_RAS,OCHI_RAS (Jah_luo🌿),unknown,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",15.0,3918,"['@oleitumbi', '@williamsruto']",#MamaMbogaMoment,1414667000,1088085142994935808,3918,2735,134213,2485
2022-07-09 12:01:43.000,A good reminder  @OleItumbi  pay Influencers.@WilliamsRuto\n\n20/05/2022 #MamaMbogamoment \n21/05/2022  #BottomUpMuranga\n21/05/2022 #NyeriNiHustlerNation \n 23/05/2023 #BottomUpKiambu\n24/05/2022 #BottomUpTaitaTaveta\n25/05/2022 #TheEconomyFirst \n26/05/2022 #PlanNiBottomUp,A good reminder @OleItumbi pay Influencers.@WilliamsRuto 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #PlanNiBottomUp,neutral,individual,kilundeezy,kilundeezy (Boniface),male,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",61.5,144197,"['@oleitumbi', '@williamsruto']",#MamaMbogaMoment,1414667000,1106310289711120384,42410,5891,320656,21299
2022-07-07 15:08:03.000,RT @OleItumbi I am taking a 36 Hours break from Social Media. \n\nReason: It is so CLASSIFIED@\n\nPlease keep the #MamaMbogaMoment moving.\n\n#HustlerNation is #Radico\n\nXXXXXX\n\nAlso keep subscribing to HNIB News Service  by Sending 1 to 23253..( cost: 3 bob)\n\nAsanteni for all those who have joined,RT @OleItumbi I am taking a 36 Hours break from Social Media. Reason: It is so CLASSIFIED@ Please keep the #MamaMbogaMoment moving. #HustlerNation is #Radico XXXXXX Also keep subscribing to HNIB News Service by Sending 1 to 23253..( cost: 3 bob) Asanteni for all those who have joined,neutral,individual,Bonniedes,Bonniedes (✨SPO!LER🍁🇰🇪),unknown,"#mamambogamoment, #hustlernation, #radico",2.3,2024,['@'],#MamaMbogaMoment,1414667000,1524933644879536128,2024,1795,37657,1205
2022-06-29 06:57:45.000,RT @kilundeezy @OleItumbi hizi tags umekataa kulipa kabisa.\n@WilliamsRuto\n\n20/05/2022 #MamaMbogamoment \n\n21/05/2022  #BottomUpMuranga\n\n21/05/2022 #NyeriNiHustlerNation \n\n 23/05/2023 #BottomUpKiambu\n\n24/05/2022 #BottomUpTaitaTaveta\n\n25/05/2022 #TheEconomyFirst \n\n26/05/2022 #ItumbiPayInfluencers,RT @kilundeezy @OleItumbi hizi tags umekataa kulipa kabisa. @WilliamsRuto 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #ItumbiPayInfluencers,neutral,individual,dickensjoh,dickensjoh (JD),unknown,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #itumbipayinfluencers",0.0,546,"['@oleitumbi', '@williamsruto']",#MamaMbogaMoment,1414667000,1385507560791363584,546,616,2060,0
2022-06-29 06:51:09.000,RT @kilundeezy @OleItumbi hizi tags umekataa kulipa kabisa.\n@WilliamsRuto\n\n20/05/2022 #MamaMbogamoment \n\n21/05/2022  #BottomUpMuranga\n\n21/05/2022 #NyeriNiHustlerNation \n\n 23/05/2023 #BottomUpKiambu\n\n24/05/2022 #BottomUpTaitaTaveta\n\n25/05/2022 #TheEconomyFirst \n\n26/05/2022 #ItumbiPayInfluencers,RT @kilundeezy @OleItumbi hizi tags umekataa kulipa kabisa. @WilliamsRuto 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #ItumbiPayInfluencers,neutral,individual,machirabrian,machirabrian (Machira.),unknown,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #itumbipayinfluencers",34.2,11574,"['@oleitumbi', '@williamsruto']",#MamaMbogaMoment,1414667000,4460304316,11574,8736,45315,5400
2022-06-29 06:50:07.000,RT @kilundeezy @OleItumbi hizi tags umekataa kulipa kabisa.\n@WilliamsRuto\n\n20/05/2022 #MamaMbogamoment \n\n21/05/2022  #BottomUpMuranga\n\n21/05/2022 #NyeriNiHustlerNation \n\n 23/05/2023 #BottomUpKiambu\n\n24/05/2022 #BottomUpTaitaTaveta\n\n25/05/2022 #TheEconomyFirst \n\n26/05/2022 #ItumbiPayInfluencers,RT @kilundeezy @OleItumbi hizi tags umekataa kulipa kabisa. @WilliamsRuto 20/05/2022 #MamaMbogamoment 21/05/2022 #BottomUpMuranga 21/05/2022 #NyeriNiHustlerNation 23/05/2023 #BottomUpKiambu 24/05/2022 #BottomUpTaitaTaveta 25/05/2022 #TheEconomyFirst 26/05/2022 #ItumbiPayInfluencers,neutral,individual,Olang_Moses,Olang_Moses (MACHIAVELLIAN),unknown,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #itumbipayinfluencers",38.8,20780,"['@oleitumbi', '@williamsruto']",#MamaMbogaMoment,1414667000,4083458907,20780,14904,154468,7537
