Source,Target,Date,Hashtags,Impact,Impressions,Twitter Followers,Twitter Following,Twitter Tweets,Reach (new)
134239948,@hmureithi,2022-07-19 16:47:28.000,#mamambogamoment,0.0,32,32,159,462,0
134239948,@kenyans,2022-07-19 16:47:28.000,#mamambogamoment,0.0,32,32,159,462,0
4083458907,@oleitumbi,2022-07-10 16:21:50.000,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",38.9,21114,21114,15120,157903,7602
4083458907,@williamsruto,2022-07-10 16:21:50.000,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",38.9,21114,21114,15120,157903,7602
1357591577925935104,@oleitumbi,2022-07-10 14:36:50.000,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",31.8,10073,10073,1209,32910,4958
1357591577925935104,@williamsruto,2022-07-10 14:36:50.000,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",31.8,10073,10073,1209,32910,4958
1533716420772646912,@oleitumbi,2022-07-09 12:34:16.000,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",0.0,342,342,183,1705,0
1533716420772646912,@williamsruto,2022-07-09 12:34:16.000,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",0.0,342,342,183,1705,0
1088085142994935808,@oleitumbi,2022-07-09 12:13:24.000,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",15.0,3918,3918,2735,134213,2485
1088085142994935808,@williamsruto,2022-07-09 12:13:24.000,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",15.0,3918,3918,2735,134213,2485
1106310289711120384,@oleitumbi,2022-07-09 12:01:43.000,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",61.5,144197,42410,5891,320656,21299
1106310289711120384,@williamsruto,2022-07-09 12:01:43.000,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #plannibottomup",61.5,144197,42410,5891,320656,21299
1524933644879536128,@,2022-07-07 15:08:03.000,"#mamambogamoment, #hustlernation, #radico",2.3,2024,2024,1795,37657,1205
1385507560791363584,@oleitumbi,2022-06-29 06:57:45.000,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #itumbipayinfluencers",0.0,546,546,616,2060,0
1385507560791363584,@williamsruto,2022-06-29 06:57:45.000,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #itumbipayinfluencers",0.0,546,546,616,2060,0
4460304316,@oleitumbi,2022-06-29 06:51:09.000,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #itumbipayinfluencers",34.2,11574,11574,8736,45315,5400
4460304316,@williamsruto,2022-06-29 06:51:09.000,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #itumbipayinfluencers",34.2,11574,11574,8736,45315,5400
4083458907,@oleitumbi,2022-06-29 06:50:07.000,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #itumbipayinfluencers",38.8,20780,20780,14904,154468,7537
4083458907,@williamsruto,2022-06-29 06:50:07.000,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #itumbipayinfluencers",38.8,20780,20780,14904,154468,7537
2342778935,@oleitumbi,2022-06-29 06:06:11.000,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #itumbipayinfluencers",0.0,1497,1497,1474,80713,717
2342778935,@williamsruto,2022-06-29 06:06:11.000,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #itumbipayinfluencers",0.0,1497,1497,1474,80713,717
337594729,@oleitumbi,2022-06-29 04:11:03.000,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #itumbipayinfluencers",1.6,1906,1906,5006,29398,1103
337594729,@williamsruto,2022-06-29 04:11:03.000,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #itumbipayinfluencers",1.6,1906,1906,5006,29398,1103
1106310289711120384,@oleitumbi,2022-06-29 04:03:17.000,"#mamambogamoment, #bottomupmuranga, #nyerinihustlernation, #bottomupkiambu, #bottomuptaitataveta, #theeconomyfirst, #itumbipayinfluencers",55.5,83863,41969,5793,315300,16652
