Source,Target
134239948,@hmureithi
134239948,@kenyans
4083458907,@oleitumbi
4083458907,@williamsruto
1357591577925935104,@oleitumbi
1357591577925935104,@williamsruto
1533716420772646912,@oleitumbi
1533716420772646912,@williamsruto
1088085142994935808,@oleitumbi
1088085142994935808,@williamsruto
1106310289711120384,@oleitumbi
1106310289711120384,@williamsruto
1524933644879536128,@
1385507560791363584,@oleitumbi
1385507560791363584,@williamsruto
4460304316,@oleitumbi
4460304316,@williamsruto
4083458907,@oleitumbi
4083458907,@williamsruto
2342778935,@oleitumbi
2342778935,@williamsruto
337594729,@oleitumbi
337594729,@williamsruto
1106310289711120384,@oleitumbi
1106310289711120384,@williamsruto
1077301359949565952,@williamsruto
1077301359949565952,@biancawamu
1077301359949565952,@peterratemo4
1077301359949565952,@oleitumbi
1077301359949565952,@husseinmohamedg
1077301359949565952,@wmmartha
3246542092,@williamsruto
3246542092,@rigathi
383720798,@nduyamuthama
1445090591155658752,@nduyamuthama
147566735,@standardkenya
1365743143044399104,@donaldbkipkorir
1484089031625482240,@alexawiti
1501458464354279424,@womenruto
1501458464354279424,@isaackmutai9
1501458464354279424,@womenruto
2889508539,@railaodinga
2889508539,@williamsruto
1522851617661464576,@railaodinga
1522851617661464576,@williamsruto
440172735,@railaodinga
440172735,@williamsruto
1259473093166333952,@railaodinga
1259473093166333952,@williamsruto
2264467486,@railaodinga
2264467486,@williamsruto
902519384253575168,@railaodinga
902519384253575168,@williamsruto
339547323,@railaodinga
339547323,@williamsruto
914628382222057472,@railaodinga
914628382222057472,@williamsruto
4008191729,@railaodinga
4008191729,@williamsruto
783949670120820736,@railaodinga
783949670120820736,@williamsruto
796229131662979072,@railaodinga
796229131662979072,@williamsruto
1314167216275939328,@railaodinga
1314167216275939328,@williamsruto
1240919230612213760,@railaodinga
1240919230612213760,@williamsruto
4392898757,@railaodinga
4392898757,@williamsruto
2906803496,@railaodinga
2906803496,@williamsruto
953297736924884992,@railaodinga
953297736924884992,@williamsruto
585863716,@railaodinga
585863716,@williamsruto
703846714633879552,@railaodinga
703846714633879552,@williamsruto
566181766,@railaodinga
566181766,@williamsruto
1141357401309896704,@railaodinga
1141357401309896704,@williamsruto
1207502099417849856,@railaodinga
1207502099417849856,@williamsruto
1276996006987661312,@railaodinga
1276996006987661312,@williamsruto
501725961,@railaodinga
501725961,@williamsruto
487523593,@railaodinga
487523593,@williamsruto
1500779673806123008,@railaodinga
1500779673806123008,@williamsruto
257944100,@railaodinga
257944100,@williamsruto
1509543561242591232,@railaodinga
1509543561242591232,@williamsruto
1032962263819411456,@railaodinga
1032962263819411456,@williamsruto
264175421,@railaodinga
264175421,@williamsruto
1249246260,@railaodinga
1249246260,@williamsruto
1091292192,@railaodinga
1091292192,@williamsruto
1196650383533363200,@railaodinga
1196650383533363200,@williamsruto
562733409,@railaodinga
562733409,@williamsruto
1500044171733831680,@railaodinga
1500044171733831680,@williamsruto
955187853537005568,@railaodinga
955187853537005568,@williamsruto
1410314204377124864,@williamsruto
390840884,@williamsruto
1301795753363419136,@williamsruto
2926864057,@williamsruto
1470867587995156480,@williamsruto
765175099930603520,@williamsruto
1268504966941020160,@williamsruto
1339638370557898752,@williamsruto
216069518,@williamsruto
1298971677699772416,@gunnerafrican
1298971677699772416,@husseinmohamedg
1298971677699772416,@sakajajohnson
1298971677699772416,@udakenya
1160054473475186688,@williamsruto
1324395618,@williamsruto
1262257822886252544,@williamsruto
724705775495569408,@williamsruto
1441816369788452864,@williamsruto
796229131662979072,@williamsruto
1343862429374160896,@williamsruto
517331956,@williamsruto
795598175499386880,@williamsruto
279613200,@williamsruto
1301202966293155840,@williamsruto
140357253,@williamsruto
977549394655539200,@williamsruto
1463251553511370752,@gunnerafrican
1463251553511370752,@husseinmohamedg
1463251553511370752,@sakajajohnson
1463251553511370752,@udakenya
785038700652748800,@williamsruto
1295032579,@williamsruto
954251091771908096,@gunnerafrican
954251091771908096,@husseinmohamedg
954251091771908096,@sakajajohnson
954251091771908096,@udakenya
124429124,@williamsruto
2246570950,@gunnerafrican
2246570950,@husseinmohamedg
2246570950,@sakajajohnson
2246570950,@udakenya
951672404396429312,@williamsruto
1044883577798893568,@williamsruto
1240919230612213760,@williamsruto
1526888906683211776,@williamsruto
1138861973326782464,@williamsruto
1278092077004468224,@williamsruto
325399052,@williamsruto
895651580099297280,@williamsruto
39303612,@williamsruto
914416013164384256,@williamsruto
1563813548,@williamsruto
879256330246250496,@williamsruto
1041464369404506112,@williamsruto
1260622183879127040,@williamsruto
736096856606834688,@williamsruto
1709442834,@williamsruto
499832520,@williamsruto
904780092001230848,@williamsruto
256145719,@williamsruto
819537404474388480,@williamsruto
385374019,@williamsruto
468246932,@williamsruto
1385644512400363520,@williamsruto
267404703,@williamsruto
994277262789959680,@williamsruto
342084869,@williamsruto
2745170855,@williamsruto
1318635810837663744,@williamsruto
1182780427255341056,@williamsruto
1448748455766249472,@williamsruto
1415271958548209664,@williamsruto
1267438054660345856,@williamsruto
202243410,@williamsruto
1186863933082263552,@williamsruto
1477907867546144768,@williamsruto
1478359370949931008,@williamsruto
1828892059,@williamsruto
243769015,@williamsruto
4145432705,@williamsruto
1294977371989213184,@williamsruto
1088458906177662976,@williamsruto
817097345892487168,@williamsruto
270831181,@williamsruto
980517498272604160,@williamsruto
1043941509169643520,@williamsruto
1003044760431546368,@williamsruto
3315158973,@williamsruto
2436739682,@williamsruto
34962084,@williamsruto
1509081438410489856,@williamsruto
785897192267669504,@williamsruto
1039552998060556288,@williamsruto
3020280357,@williamsruto
1193040632,@williamsruto
1453321042802401280,@williamsruto
203825001,@williamsruto
2682175866,@williamsruto
1969017410,@williamsruto
792807125626003456,@williamsruto
2958751840,@williamsruto
1263169004321071104,@williamsruto
3823888215,@williamsruto
1326730158879936512,@williamsruto
1475159683367411712,@williamsruto
772152631007510528,@williamsruto
1254856633424982016,@williamsruto
218544686,@williamsruto
341068525,@williamsruto
807313986484137984,@williamsruto
1330932338587561984,@williamsruto
1267453199704903680,@williamsruto
2341999346,@williamsruto
755645818422628352,@williamsruto
953297736924884992,@williamsruto
3391686209,@williamsruto
928648501613027328,@williamsruto
1221911399468847104,@williamsruto
566181766,@williamsruto
566181766,@williamsruto
1219304109054054400,@williamsruto
4392898757,@williamsruto
702145297225535488,@williamsruto
549968240,@williamsruto
152181438,@williamsruto
1314383330,@williamsruto
243641368,@williamsruto
1336002016796172288,@williamsruto
1213110193036218368,@williamsruto
1109672282,@williamsruto
1270411683169742848,@williamsruto
1010841207235383296,@williamsruto
1087249648358752256,@williamsruto
2264467486,@williamsruto
1437995413,@williamsruto
734825869022265344,@williamsruto
1351467913367089152,@williamsruto
1020701191452471296,@williamsruto
1162352059556999168,@williamsruto
773949072,@williamsruto
914628382222057472,@williamsruto
940013503087284224,@williamsruto
835103019855405056,@williamsruto
1170402759000166400,@williamsruto
1183291227757862912,@williamsruto
2319017782,@williamsruto
1275355282051346432,@williamsruto
365592558,@williamsruto
