Id,Label,Sentiment,Account Type,Gender,Impact,Impressions,Total Monthly Visitors,Twitter Followers,Twitter Following,Twitter Tweets,Reach (new)
134239948,mngesa,negative,individual,male,0.0,32,1414667000,32,159,462,0
4083458907,Olang_Moses,neutral,individual,unknown,38.9,21114,1414667000,21114,15120,157903,7602
1357591577925935104,CaesarToreto,neutral,individual,unknown,31.8,10073,1414667000,10073,1209,32910,4958
1533716420772646912,125__iconic,neutral,individual,unknown,0.0,342,1414667000,342,183,1705,0
1088085142994935808,OCHI_RAS,neutral,individual,unknown,15.0,3918,1414667000,3918,2735,134213,2485
1106310289711120384,kilundeezy,neutral,individual,male,61.5,144197,1414667000,42410,5891,320656,21299
1524933644879536128,Bonniedes,neutral,individual,unknown,2.3,2024,1414667000,2024,1795,37657,1205
1385507560791363584,dickensjoh,neutral,individual,unknown,0.0,546,1414667000,546,616,2060,0
4460304316,machirabrian,neutral,individual,unknown,34.2,11574,1414667000,11574,8736,45315,5400
4083458907,Olang_Moses,neutral,individual,unknown,38.8,20780,1414667000,20780,14904,154468,7537
2342778935,1stDarwin,neutral,individual,male,0.0,1497,1414667000,1497,1474,80713,717
337594729,BraqueGeorges,neutral,individual,male,1.6,1906,1414667000,1906,5006,29398,1103
1106310289711120384,kilundeezy,neutral,individual,male,55.5,83863,1414667000,41969,5793,315300,16652
1077301359949565952,SangKelvin01,neutral,individual,female,23.6,5295,1414667000,5295,5636,4302,3182
3246542092,blessedjackey,neutral,individual,unknown,3.4,561,1414667000,501,341,3520,0
383720798,KYKiamba,positive,individual,unknown,0.0,790,1414667000,790,2640,4485,0
1445090591155658752,TevinMacharia,positive,individual,unknown,5.6,1252,1414667000,462,996,912,159
147566735,mwangiwamso,neutral,individual,unknown,0.0,268,1414667000,268,2708,1697,0
1365743143044399104,AntonyHaruki,neutral,individual,unknown,0.0,74,1414667000,74,114,1794,0
1484089031625482240,ASBELKEMBOI7,neutral,individual,unknown,0.0,485,1414667000,485,782,35104,0
1501458464354279424,MaimunaSaid7,neutral,individual,unknown,0.0,71,1414667000,71,11,1881,0
1501458464354279424,MaimunaSaid7,neutral,individual,unknown,0.0,71,1414667000,71,11,1880,0
2889508539,khanhussein20,neutral,individual,unknown,0.0,4,1414667000,4,70,22,0
1522851617661464576,Pauline34677965,neutral,individual,female,0.0,266,1414667000,266,270,619,0
440172735,Geffnuthskey,neutral,individual,unknown,0.0,267,1414667000,267,1683,5009,0
1259473093166333952,JohnMulu12,neutral,individual,unknown,0.0,647,1414667000,647,1606,12780,0
2264467486,Dizzy_Snazzy,neutral,individual,unknown,0.0,88,1414667000,88,141,382,0
902519384253575168,RaswilliEms69,neutral,individual,unknown,36.0,13719,1414667000,13719,12779,189862,5974
339547323,dkdaniek5,neutral,individual,unknown,0.0,201,1414667000,201,729,380,0
914628382222057472,Rashidhatibu254,neutral,individual,male,0.0,262,1414667000,262,157,17797,0
4008191729,IsoeKenty,neutral,individual,unknown,0.0,1528,1414667000,1528,1663,9254,748
783949670120820736,KaranjaNjau,neutral,individual,male,0.0,10,1414667000,10,282,126,0
